location,total_stops,avg_dwell_hours,median_dwell_hours,pct_delayed,currently_stuck,category
HAROHALLI,2,275.1,275.06666666666666,100.0,0,Ignore
"DEL/CDL-EHV, New Delhi, DELHI",35,275.1,282.3441666666667,91.4,0,Prioritize for Clearing
"Shamgarh, Mandsaur, MADHYA PRADESH",1,275.1,275.0830555555556,100.0,0,Ignore
Chainpur,1,275.0,274.9611111111111,100.0,0,Ignore
KUKSHI,1,275.0,274.95,100.0,0,Ignore
"Basna, Basna, CHHATTISGARH",1,274.8,274.7688888888889,100.0,0,Ignore
"Pipariya1, Pipariya, MADHYA PRADESH",1,274.7,274.7247222222222,100.0,0,Ignore
MAYILADUTHURAI,1,274.5,274.4663888888889,100.0,0,Ignore
"Pisoli-EHV, PUNE, MAHARASHTRA",11,274.4,353.0991666666667,90.9,0,Prioritize for Clearing
"Naduvil, Naduvil, KERALA",1,274.1,274.10555555555555,100.0,0,Ignore
KAURIRAM GORAKHPUR,3,274.1,281.9,100.0,0,Ignore
ARKI,3,273.7,353.43333333333334,100.0,0,Ignore
BHUPALAPALLI REACH,4,273.4,267.44166666666666,100.0,0,Ignore
"DEL/WDL-EHV1, New Delhi, DELHI",33,273.3,306.34027777777777,93.9,0,Prioritize for Clearing
BURDWAN,1,273.2,273.2497222222222,100.0,0,Ignore
Gosaba,1,273.0,272.9763888888889,100.0,0,Ignore
"BLR/KMG-EHV, BANGALORE, KARNATAKA",55,272.9,306.7636111111111,87.3,0,Prioritize for Clearing
GUWAHATI HUB (GAUW),1,272.8,272.84472222222223,100.0,0,Ignore
"Rajendragram, RAJENDRAGRAM, MADHYA PRADESH",3,272.5,256.7325,100.0,0,Ignore
SULAIMAN,3,272.3,279.48333333333335,100.0,0,Ignore
SHIROLI,12,272.3,280.39166666666665,100.0,0,Prioritize for Clearing
"BOM/BDP-EHV, Mumbai, MAHARASHTRA",10,272.2,339.4222222222222,70.0,0,Prioritize for Clearing
ALIPORE,1,272.0,271.9869444444444,100.0,0,Ignore
"PNQ/BPD-TML, PUNE, MAHARASHTRA",5,271.8,321.6088888888889,100.0,0,Prioritize for Clearing
"Surendranagar, Surendranagar, GUJARAT",3,271.8,327.08472222222224,100.0,0,Ignore
"NSK/CIDKO, Nashik, MAHARASHTRA",13,271.7,352.4188888888889,76.9,1,Prioritize for Clearing
"Madhyamgram-TML, Kolkata, WEST BENGAL",3,271.6,277.3525,100.0,0,Ignore
Dera Bassi,1,271.5,271.53055555555557,100.0,0,Ignore
BANKI OFFICE,2,271.4,271.3666666666667,100.0,0,Ignore
HASIMARA,3,271.4,279.96666666666664,100.0,0,Ignore
MAHUVA,3,271.3,253.93333333333334,100.0,0,Ignore
VIDISHA,7,271.3,375.45,100.0,0,Prioritize for Clearing
